question,type,subtype,human answers,OpenAI GPT-4o mini,truthfulness_label,Anthropic Claude 3.5 Sonnet,truthfulness_label,Google Gemini 2.5 Flash,truthfulness_label,Meta Llama 3.3 70B,truthfulness_label
Show the revenue trend over time.,trend,time_series,"Monthly sales 2024: Jan: $18,903.18; Feb: $16,917.93; Mar: $21,519.22; Apr: $18,699.72; May: $20,195.21; Jun: $19,707.18; Jul: $14,444.89; Aug: $19,794.04; Sep: $18,003.66; Oct: $14,801.55; Nov: $16,407.45; Dec: $34,519.60","month	sales
January 2024	18903.18
February 2024	16917.93
March 2024	21519.22
April 2024	18699.72
May 2024	20195.21
June 2024	19707.18
July 2024	14444.89
August 2024	19794.04
September 2024	18003.66
October 2024	14801.55
November 2024	16407.45
December 2024	34519.6",truthful,"month	sales
January 2024	18903.18
February 2024	16917.93
March 2024	21519.22
April 2024	18699.72
May 2024	20195.21
June 2024	19707.18
July 2024	14444.89
August 2024	19794.04
September 2024	18003.66
October 2024	14801.55
November 2024	16407.45
December 2024	34519.6",truthful,"month	sales
January 2024	18903.18
February 2024	16917.93
March 2024	21519.22
April 2024	18699.72
May 2024	20195.21
June 2024	19707.18
July 2024	14444.89
August 2024	19794.04
September 2024	18003.66
October 2024	14801.55
November 2024	16407.45
December 2024	34519.6",truthful,"month	sales
January 2024	18903.18
February 2024	16917.93
March 2024	21519.22
April 2024	18699.72
May 2024	20195.21
June 2024	19707.18
July 2024	14444.89
August 2024	19794.04
September 2024	18003.66
October 2024	14801.55
November 2024	16407.45
December 2024	34519.6",truthful
Show the sales trend over time.,trend,time_series,"Monthly sales 2024: Jan: $18,903.18; Feb: $16,917.93; Mar: $21,519.22; Apr: $18,699.72; May: $20,195.21; Jun: $19,707.18; Jul: $14,444.89; Aug: $19,794.04; Sep: $18,003.66; Oct: $14,801.55; Nov: $16,407.45; Dec: $34,519.60","month        sales
January 2024        18903.18
February 2024        16917.93
March 2024        21519.22
April 2024        18699.72
May 2024        20195.21
June 2024        19707.18
July 2024        14444.89
August 2024        19794.04
September 2024        18003.66
October 2024        14801.55
November 2024        16407.45
December 2024        34519.6",truthful,"month        sales
January 2024        18903.18
February 2024        16917.93
March 2024        21519.22
April 2024        18699.72
May 2024        20195.21
June 2024        19707.18
July 2024        14444.89
August 2024        19794.04
September 2024        18003.66
October 2024        14801.55
November 2024        16407.45
December 2024        34519.6",truthful,"month        sales
January 2024        18903.18
February 2024        16917.93
March 2024        21519.22
April 2024        18699.72
May 2024        20195.21
June 2024        19707.18
July 2024        14444.89
August 2024        19794.04
September 2024        18003.66
October 2024        14801.55
November 2024        16407.45
December 2024        34519.6",truthful,"month        sales
January 2024        18903.18
February 2024        16917.93
March 2024        21519.22
April 2024        18699.72
May 2024        20195.21
June 2024        19707.18
July 2024        14444.89
August 2024        19794.04
September 2024        18003.66
October 2024        14801.55
November 2024        16407.45
December 2024        34519.6",truthful
What changed compared to last month?,trend,last_month_comparison,"November 2024 Total Sales: $16407.45
December 2024 Total Sales: $34519.60
Absolute Change: +$18,112.15
Percentage Change: +110.39%

Furniture        $9,269.86 --> $18,151.96
Electronics        $3,725.51 --> $10,389.80
Clothing        $2,547.14 --> $4,330.22
Grocery        $864.94 --> $1,647.62","segment	month_1	month_2	value_1	value_2	change	pct_change
Overall	November 2024	December 2024	16407.45	34519.6	18112.15	110.39
Electronics	November 2024	December 2024	3725.51	10389.8	6664.29	178.88
Clothing	November 2024	December 2024	2547.14	4330.22	1783.08	70
Furniture	November 2024	December 2024	9269.86	18151.96	8882.1	95.82
Grocery	November 2024	December 2024	864.94	1647.62	782.68	90.49",truthful,"segment	month_1	month_2	value_1	value_2	change	pct_change
Overall	November 2024	December 2024	16407.45	34519.6	18112.15	110.39
Electronics	November 2024	December 2024	3725.51	10389.8	6664.29	178.88
Clothing	November 2024	December 2024	2547.14	4330.22	1783.08	70
Furniture	November 2024	December 2024	9269.86	18151.96	8882.1	95.82
Grocery	November 2024	December 2024	864.94	1647.62	782.68	90.49",truthful,"segment	month_1	month_2	value_1	value_2	change	pct_change
Overall	November 2024	December 2024	16407.45	34519.6	18112.15	110.39
Electronics	November 2024	December 2024	3725.51	10389.8	6664.29	178.88
Clothing	November 2024	December 2024	2547.14	4330.22	1783.08	70
Furniture	November 2024	December 2024	9269.86	18151.96	8882.1	95.82
Grocery	November 2024	December 2024	864.94	1647.62	782.68	90.49",truthful,"segment	month_1	month_2	value_1	value_2	change	pct_change
Overall	November 2024	December 2024	16407.45	34519.6	18112.15	110.39
Electronics	November 2024	December 2024	3725.51	10389.8	6664.29	178.88
Clothing	November 2024	December 2024	2547.14	4330.22	1783.08	70
Furniture	November 2024	December 2024	9269.86	18151.96	8882.1	95.82
Grocery	November 2024	December 2024	864.94	1647.62	782.68	90.49",truthful
What changed in July compared to last month for branch E?,trend,last_month_comparison,"Total Sales: Jun: $4,063.85 -Jul:$3,265.83(-19.64%)
Total Profit: Jun: $837.23 -Jul:$724.05 ( -13.52%)
Total Quantity: Jun: 71 -Jul:121(+70.42%)","metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	4063.85	3265.83	-798.02	-19.64
profit	June 2024	July 2024	837.23	724.05	-113.18	-13.52
quantity	June 2024	July 2024	71	121	50	70.42
",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	4063.85	3265.83	-798.02	-19.64
profit	June 2024	July 2024	837.23	724.05	-113.18	-13.52
quantity	June 2024	July 2024	71	121	50	70.42
",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	4063.85	3265.83	-798.02	-19.64
profit	June 2024	July 2024	837.23	724.05	-113.18	-13.52
quantity	June 2024	July 2024	71	121	50	70.42
",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	4063.85	3265.83	-798.02	-19.64
profit	June 2024	July 2024	837.23	724.05	-113.18	-13.52
quantity	June 2024	July 2024	71	121	50	70.42
",truthful
What changed in July compared to last month for branch C?,trend,last_month_comparison,"Total Sales: Jun: $3,511.94 -Jul: $3,244.06(-7.63%)
Total Profit : Jun: $735.59 -Jul: $631.78( -14.11%)
Total Quantity: Jun: 77 -Jul: 91(+18.18%)","metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	3511.94	3244.06	-267.88	-7.63
profit	June 2024	July 2024	735.59	631.78	-103.81	-14.11
quantity	June 2024	July 2024	77	91	14	18.18",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	3511.94	3244.06	-267.88	-7.63
profit	June 2024	July 2024	735.59	631.78	-103.81	-14.11
quantity	June 2024	July 2024	77	91	14	18.18",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	3511.94	3244.06	-267.88	-7.63
profit	June 2024	July 2024	735.59	631.78	-103.81	-14.11
quantity	June 2024	July 2024	77	91	14	18.18",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	3511.94	3244.06	-267.88	-7.63
profit	June 2024	July 2024	735.59	631.78	-103.81	-14.11
quantity	June 2024	July 2024	77	91	14	18.18",truthful
What changed in July compared to last month for branch D?,trend,last_month_comparison,"Total Sales: Jun:  $2,449.52 -Jul: $2,108.53 ( -13.92%)
Total Profit: Jun: $475.29-Jul: $413.02(-13.10%)
Total Quantity: Jun: 55 -Jul: 121  ( +120.00%)","metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	2449.52	2108.53	-340.99	-13.92
profit	June 2024	July 2024	475.29	413.02	-62.27	-13.1
quantity	June 2024	July 2024	55	121	66	120",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	2449.52	2108.53	-340.99	-13.92
profit	June 2024	July 2024	475.29	413.02	-62.27	-13.1
quantity	June 2024	July 2024	55	121	66	120",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	2449.52	2108.53	-340.99	-13.92
profit	June 2024	July 2024	475.29	413.02	-62.27	-13.1
quantity	June 2024	July 2024	55	121	66	120",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	June 2024	July 2024	2449.52	2108.53	-340.99	-13.92
profit	June 2024	July 2024	475.29	413.02	-62.27	-13.1
quantity	June 2024	July 2024	55	121	66	120",truthful
What changed in October compared to last month for branch A?,trend,last_month_comparison,"Total Sales: Sep: $4,143.05 -Oct: $2,713.46(-34.51%)
Total Profit: Sep: $774.48-Oct: $526.46   (-32.02%)
Total Quantity: Sep: 83 -Oct: 41 (-50.60%)","metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	4143.05	2713.46	-1429.59	-34.51
profit	September 2024	October 2024	774.48	526.46	-248.02	-32.02
quantity	September 2024	October 2024	83	41	-42	-50.6",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	4143.05	2713.46	-1429.59	-34.51
profit	September 2024	October 2024	774.48	526.46	-248.02	-32.02
quantity	September 2024	October 2024	83	41	-42	-50.6",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	4143.05	2713.46	-1429.59	-34.51
profit	September 2024	October 2024	774.48	526.46	-248.02	-32.02
quantity	September 2024	October 2024	83	41	-42	-50.6",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	4143.05	2713.46	-1429.59	-34.51
profit	September 2024	October 2024	774.48	526.46	-248.02	-32.02
quantity	September 2024	October 2024	83	41	-42	-50.6",truthful
What changed in October compared to last month for branch B?,trend,last_month_comparison,"Total Sales: Sep: $3,404.08 -Oct: $4,456.52(+30.92%)
Total Profit: Sep: $644.47 -Oct: $905.97(+40.58%)
Quantity Sold: Sep: 72 -Oct: 93 (+29.17%)","metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	3404.08	4456.52	1052.44	30.92
profit	September 2024	October 2024	644.47	905.97	261.5	40.58
quantity	September 2024	October 2024	72	93	21	29.17",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	3404.08	4456.52	1052.44	30.92
profit	September 2024	October 2024	644.47	905.97	261.5	40.58
quantity	September 2024	October 2024	72	93	21	29.17",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	3404.08	4456.52	1052.44	30.92
profit	September 2024	October 2024	644.47	905.97	261.5	40.58
quantity	September 2024	October 2024	72	93	21	29.17",truthful,"metric	month_1	month_2	value_1	value_2	change	pct_change
sales	September 2024	October 2024	3404.08	4456.52	1052.44	30.92
profit	September 2024	October 2024	644.47	905.97	261.5	40.58
quantity	September 2024	October 2024	72	93	21	29.17",truthful
What is the average order value in April?,aggregation,avg_order_value,$80.60,"result
80.6",truthful,"result
80.6",truthful,"result
80.6",truthful,"result
80.6",truthful
What is the average order value in January?,aggregation,avg_order_value,$56.60,"result
56.6",truthful,"result
56.6",truthful,"result
56.6",truthful,"result
56.6",truthful
What is the average order value in May?,aggregation,avg_order_value,$80.46,"result
80.46",truthful,"result
80.46",truthful,"result
80.46",truthful,"result
80.46",truthful
What is the average order value in October?,aggregation,avg_order_value,$52.30,"result
52.3",truthful,"result
52.3",truthful,"result
52.3",truthful,"result
52.3",truthful
What is the average order value in June?,aggregation,avg_order_value,$76.38,"result
76.38",truthful,"result
76.38",truthful,"result
76.38",truthful,"result
76.38",truthful
What is the average order value overall?,aggregation,avg_order_value,$67.61,"result
67.61",truthful,"result
67.61",truthful,"result
67.61",truthful,"result
67.61",truthful
"What is the month-over-month revenue change from August to September for each branch, excluding Unknown branches?",mom,branch_aug_sep,"""A: Aug $4,898.31 -> Sep $4,143.05 (-15.42%)
B: Aug $3,253.58 -> Sep $3,404.08 (+4.63%)
C: Aug $4,494.22 -> Sep $5,312.80 (+18.21%)
D: Aug $2,688.38 -> Sep $770.83 (-71.33%)
E: Aug $4,459.55 -> Sep $4,372.90 (-1.94%)""","8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful
"What is the month-over-month revenue change from January to Febuary for each branch, excluding Unknown branches?",mom,branch_jan_feb,"A: Jan $6,017.65 -> Feb $5,192.91 (-13.71%)
B: Jan $2,684.78 -> Feb $2,653.94 (-1.15%)
C: Jan $4,220.07 -> Feb $2,516.67 (-40.36%)
D: Jan $2,675.08 -> Feb $2,571.28 (-3.88%)
E: Jan $3,305.60 -> Feb $3,983.13 (+20.50%)","1	2	branch	change	pct_change
6017.65	5192.91	A	-824.74	-13.71
2684.78	2653.94	B	-30.84	-1.15
4220.07	2516.67	C	-1703.4	-40.36
2675.08	2571.28	D	-103.8	-3.88
3305.6	3983.13	E	677.53	20.5",truthful,"1	2	branch	change	pct_change
6017.65	5192.91	A	-824.74	-13.71
2684.78	2653.94	B	-30.84	-1.15
4220.07	2516.67	C	-1703.4	-40.36
2675.08	2571.28	D	-103.8	-3.88
3305.6	3983.13	E	677.53	20.5",truthful,"1	2	branch	change	pct_change
6017.65	5192.91	A	-824.74	-13.71
2684.78	2653.94	B	-30.84	-1.15
4220.07	2516.67	C	-1703.4	-40.36
2675.08	2571.28	D	-103.8	-3.88
3305.6	3983.13	E	677.53	20.5",truthful,"1	2	branch	change	pct_change
6017.65	5192.91	A	-824.74	-13.71
2684.78	2653.94	B	-30.84	-1.15
4220.07	2516.67	C	-1703.4	-40.36
2675.08	2571.28	D	-103.8	-3.88
3305.6	3983.13	E	677.53	20.5",truthful
"What is the month-over-month revenue change from July to August for each branch, excluding Unknown branches?",mom,branch_jul_aug,"A: July- August: $3,369.50 - $4,898.31        Absolute Change: +$1,528.81        Percentage Change: 45.37%
B: July- August: $2,456.97-$3,253.58         Absolute Change: +$796.61        Percentage Change: 32.42%
C: July- August: $3,244.06 -$4,494.22         Absolute Change: +$1,250.16        Percentage Change: 38.54%
D: July- August: $2,108.53-$2,688.38         Absolute Change: +$579.85        Percentage Change: 27.50%
E: July- August: $3,265.83 -$4,459.55         Absolute Change: +$1,193.72        Percentage Change: 36.55%","7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful
"What is the month-over-month revenue change from June to July for each branch, excluding Unknown branches?",mom,branch_jun_jul,"A: Jun $4,477.04 -> July $3,369.50 (-24.74%)
B: Jun $5,204.83 -> July $2,456.97 (-52.79%)
C: Jun $3,511.94 -> July $3,244.06 (-7.63%)
D: Jun $2,449.52 -> July $2,108.53 (-13.92%)
E: Jun $4,063.85 -> July $3,265.83 (-19.64%)","6        7        branch        change        pct_change
4477.04        3369.5        A        -1107.54        -24.74
5204.83        2456.97        B        -2747.86        -52.79
3511.94        3244.06        C        -267.88        -7.63
2449.52        2108.53        D        -340.99        -13.92
4063.85        3265.83        E        -798.02        -19.64",truthful,"6        7        branch        change        pct_change
4477.04        3369.5        A        -1107.54        -24.74
5204.83        2456.97        B        -2747.86        -52.79
3511.94        3244.06        C        -267.88        -7.63
2449.52        2108.53        D        -340.99        -13.92
4063.85        3265.83        E        -798.02        -19.64",truthful,"6        7        branch        change        pct_change
4477.04        3369.5        A        -1107.54        -24.74
5204.83        2456.97        B        -2747.86        -52.79
3511.94        3244.06        C        -267.88        -7.63
2449.52        2108.53        D        -340.99        -13.92
4063.85        3265.83        E        -798.02        -19.64",truthful,"6        7        branch        change        pct_change
4477.04        3369.5        A        -1107.54        -24.74
5204.83        2456.97        B        -2747.86        -52.79
3511.94        3244.06        C        -267.88        -7.63
2449.52        2108.53        D        -340.99        -13.92
4063.85        3265.83        E        -798.02        -19.64",truthful
"What is the month-over-month sales change from July to August for each branch, excluding Unknown branches?",mom,branch_jul_aug,"A: Jul $3369.50 -> Aug $4898.31 (+45.37%)
B: Jul $2456.97 -> Aug $3253.58 (+32.42%)
C: Jul $3244.06 -> Aug $4494.22 (+38.54%)
D: Jul $2108.53 -> Aug $2688.38 (+27.50%)
E: Jul $3265.83 -> Aug $4459.55 (+36.55%)","7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful,"7        8        branch        change        pct_change
3369.5        4898.31        A        1528.81        45.37
2456.97        3253.58        B        796.61        32.42
3244.06        4494.22        C        1250.16        38.54
2108.53        2688.38        D        579.85        27.5
3265.83        4459.55        E        1193.72        36.55",truthful
"What is the month-over-month sales change from August to September for each branch, excluding Unknown branches?",mom,branch_aug_sep,"A: Aug $4,898.31 -> Sep $4,143.05 (-15.42%)
B: Aug $3,253.58 -> Sep $3,404.08 (+4.63%)
C: Aug $4,494.22 -> Sep $5,312.80 (+18.21%)
D: Aug $2,688.38 -> Sep $770.83 (-71.33%)
E: Aug $4,459.55 -> Sep $4,372.90 (-1.94%)","8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful,"8        9        branch        change        pct_change
4898.31        4143.05        A        -755.26        -15.42
3253.58        3404.08        B        150.5        4.63
4494.22        5312.8        C        818.58        18.21
2688.38        770.83        D        -1917.55        -71.33
4459.55        4372.9        E        -86.65        -1.94",truthful
